date,year,month_day,spy,vix,sp20vol,next_20_vix,next_20_move,last_20_move,imp_v_hist,vol_diff_p,spy_50_ma,spy_v_ma
5/15/2007,2007,5/15,150.57,14.01,0.090715824,3.946870369582172,5.942802715479876,3.4799999999999898,-1.5505626514737854,-30.82284744072367,145.2218,1.0368278040900194
5/16/2007,2007,5/16,151.6,13.5,0.094628497,3.8031941462783245,5.76564232575794,4.329999999999984,-0.8228868976861774,-15.969434494199442,145.4598,1.0422123500788534
5/17/2007,2007,5/17,151.3,13.51,0.094529745,3.8060113271274196,5.758495137943786,4.070000000000022,-1.1312601466097805,-21.74973207881439,145.69459999999998,1.0384736290844
5/18/2007,2007,5/18,152.62,12.76,0.092052222,3.5947227634452905,5.486265881570202,4.0,-1.0535812727555607,-20.848210722078196,145.9322,1.0458281311458335
5/21/2007,2007,5/21,152.54,13.3,0.091065561,3.7468505292964234,5.715445797388764,4.47999999999999,-0.9591378265818706,-17.63400482139695,146.1674,1.0435979568631584
5/22/2007,2007,5/22,152.42,13.02,0.091149383,3.667969465521762,5.5907190593482685,4.299999999999983,-1.1747244550676461,-21.457234326748136,146.396,1.0411486652640782
5/23/2007,2007,5/23,152.44,13.24,0.085566515,3.729947444201853,5.685931883941305,2.960000000000008,-2.6028920737932397,-46.79026735131981,146.6798,1.0392705744076554
5/24/2007,2007,5/24,151.06,14.08,0.093398683,3.966590635525838,5.99193181402533,1.4099999999999966,-3.9821503489178927,-73.85087750227589,146.91539999999998,1.0282107934226095
5/25/2007,2007,5/25,151.69,13.34,0.095021594,3.7581192526928033,5.700691094409714,2.1599999999999966,-3.0846005019465395,-58.81478485924121,147.1598,1.030784222321585
5/29/2007,2007,5/29,152.24,13.53,0.089476616,3.8116456888256094,5.802849396668108,3.950000000000017,-1.9905436181569698,-33.50776875154941,147.434,1.0325976369087186
5/30/2007,2007,5/30,153.48,12.83,0.092566818,3.614443029388956,5.547447161506169,4.810000000000002,-0.8483970400403322,-14.993593309851667,147.6996,1.0391361926504878
5/31/2007,2007,5/31,153.32,13.05,0.090726309,3.676421008069047,5.6366886895714625,3.780000000000001,-1.730358412191662,-31.401921304488027,147.9466,1.036319861355381
6/1/2007,2007,6/1,154.08,12.78,0.090478132,3.6003571251434803,5.547430258421075,3.730000000000018,-1.8144415112582513,-32.7254153114238,148.1624,1.0399399577760622
6/4/2007,2007,6/4,154.1,13.29,0.090439549,3.7440333484473283,5.769555389957333,3.180000000000007,-2.3089309346534392,-42.065221117583945,148.3808,1.0385440703918567
6/5/2007,2007,6/5,153.49,13.63,0.093083391,3.8398174973165604,5.8937358766311885,2.5400000000000205,-3.0520828565972957,-54.57864153419276,148.58280000000002,1.0330267029561968
6/6/2007,2007,6/6,151.84,14.87,0.098978831,4.189147922604347,6.3608022056824405,1.0900000000000034,-4.5201550717442585,-80.57094704048689,148.75560000000002,1.0207346815850966
6/7/2007,2007,6/7,149.1,17.06,0.116845824,4.806110528556164,7.16591079807724,2.0600000000000023,-3.4248843360818038,-62.442234443332154,148.88039999999998,1.0014750094706892
6/8/2007,2007,6/8,151.04,14.84,0.113271397,4.180696380057062,6.3145238124381855,1.4599999999999795,-4.270957195143902,-74.52432551342194,149.0648,1.0132506131561576
